date_time,Air_Temp,Barometric_Press,Dew_Point,Relative_Humidity,Wind_Dir,Wind_Gust,Wind_Speed
2011-01-01 00:05:27,18.90,30.30,15.70,87.40,144.20,15.00,12.40
2011-01-01 00:11:49,19.00,30.30,15.60,86.40,145.00,17.00,13.00
2011-01-01 00:18:05,18.80,30.30,16.00,88.60,148.80,17.00,13.00
2011-01-01 00:24:25,18.40,30.30,15.40,88.20,138.00,17.00,12.40
2011-01-01 00:30:39,18.20,30.30,15.30,88.20,140.80,17.00,12.60
2011-01-01 00:36:54,18.20,30.30,15.50,89.00,150.40,14.00,11.60
2011-01-01 00:43:09,18.30,30.30,15.70,89.40,139.20,14.00,12.60
2011-01-01 00:49:30,18.10,30.30,15.50,89.00,142.20,14.00,11.20
2011-01-01 00:55:49,18.30,30.30,15.90,90.00,146.60,14.00,10.40
2011-01-01 01:02:04,18.20,30.30,15.70,89.80,144.00,14.00, 9.40
2011-01-01 01:08:20,18.00,30.30,15.40,89.40,148.00,15.00,11.40
2011-01-01 01:14:35,18.10,30.30,15.70,90.00,145.60,15.00,10.80
2011-01-01 01:20:49,18.10,30.30,15.70,90.20,147.20,15.00,11.80
2011-01-01 01:27:05,17.90,30.30,15.30,89.40,143.80,15.00,11.20
2011-01-01 01:33:21,18.20,30.30,15.90,90.40,155.20,15.00,10.40
2011-01-01 01:39:39,18.20,30.30,15.60,89.20,145.40,15.00,11.20
2011-01-01 01:45:56,18.30,30.30,15.60,89.00,149.00,15.00,11.20
2011-01-01 01:52:16,18.30,30.30,15.30,88.00,148.60,15.00,11.60
2011-01-01 01:58:33,18.30,30.30,15.50,88.60,145.80,15.00,12.60
2011-01-01 02:04:48,18.20,30.30,15.60,89.20,151.60,15.00,13.00
2011-01-01 02:11:05,18.30,30.30,15.90,90.20,152.60,15.00,12.60
2011-01-01 02:17:24,18.20,30.30,15.80,89.80,153.20,15.00,12.00
2011-01-01 02:23:41,18.30,30.30,16.10,90.80,144.80,15.00,11.20
2011-01-01 02:29:56,18.00,30.30,15.70,90.40,137.00,15.00,12.80
2011-01-01 02:36:16,17.70,30.30,15.30,90.20,144.20,15.00,12.60
2011-01-01 02:42:29,17.50,30.30,15.20,90.40,136.20,15.00,13.20
2011-01-01 02:48:43,17.60,30.30,15.30,90.80,141.40,15.00,12.40
2011-01-01 02:54:56,17.60,30.30,15.40,91.00,142.40,16.00,13.00
2011-01-01 03:01:12,17.50,30.30,15.50,91.80,147.00,17.00,14.00
2011-01-01 03:07:25,17.50,30.30,15.50,91.60,138.00,16.00,12.40
2011-01-01 03:13:39,17.30,30.30,15.20,91.20,147.60,16.00,12.20
2011-01-01 03:19:52,17.50,30.30,15.60,92.20,142.20,16.00,11.00
2011-01-01 03:26:07,17.30,30.30,15.40,92.00,137.40,16.00,11.60
2011-01-01 03:32:20,17.40,30.30,15.70,92.60,145.20,16.00,11.60
2011-01-01 03:38:34,17.30,30.30,15.20,91.60,133.40,14.00,11.80
2011-01-01 03:44:47,17.30,30.30,15.40,92.00,138.40,15.00,12.40
2011-01-01 03:51:02,17.20,30.30,15.30,92.00,134.00,15.00,11.80
2011-01-01 03:57:16,17.20,30.30,15.30,92.00,145.00,15.00,10.60
2011-01-01 04:03:29,17.20,30.30,15.10,91.60,140.80,15.00, 9.80
2011-01-01 04:09:43,17.40,30.30,15.60,92.40,141.20,13.00,10.60
2011-01-01 04:15:57,17.40,30.30,15.50,92.00,142.40,13.00, 9.40
2011-01-01 04:22:10,17.50,30.30,15.80,93.00,151.40,13.00, 9.00
2011-01-01 04:28:23,17.60,30.30,15.80,92.80,135.20,13.00, 9.00
2011-01-01 04:34:37,17.40,30.30,15.50,92.20,144.00,13.00,10.00
2011-01-01 04:40:50,17.30,30.30,15.50,92.80,137.80,12.00, 9.00
2011-01-01 04:47:04,17.10,30.30,15.40,93.00,137.80,12.00,10.20
2011-01-01 04:53:18,17.10,30.30,15.40,93.00,140.00,13.00, 9.00
2011-01-01 04:59:32,17.10,30.30,15.40,93.00,137.80,13.00,10.40
2011-01-01 05:05:46,17.20,30.30,15.50,93.00,154.20,13.00, 8.80
2011-01-01 05:12:00,17.30,30.30,15.60,93.00,148.20,13.00,10.20
2011-01-01 05:18:13,17.00,30.30,15.30,93.00,149.00,13.00, 9.60
2011-01-01 05:24:29,16.80,30.30,15.00,92.40,140.00,13.00,11.00
2011-01-01 05:30:42,16.60,30.30,14.90,93.00,147.20,13.00,10.00
2011-01-01 05:36:55,16.30,30.30,14.40,92.00,141.00,15.00,11.40
2011-01-01 05:43:09,16.50,30.30,14.80,93.20,140.60,15.00,11.00
2011-01-01 05:49:25,16.60,30.30,14.90,93.00,145.60,15.00,11.60
2011-01-01 05:55:38,16.30,30.30,14.40,92.00,152.20,15.00, 9.80
2011-01-01 06:01:52,16.40,30.30,14.70,93.00,139.40,15.00,10.40
2011-01-01 06:08:07,16.40,30.30,14.50,92.20,153.40,13.00,10.00
2011-01-01 06:14:24,16.30,30.30,14.50,92.40,143.80,13.00,10.60
2011-01-01 06:20:38,16.40,30.30,14.70,93.00,145.60,13.00,10.20
2011-01-01 06:26:52,16.30,30.40,14.50,92.40,145.60,13.00,10.40
2011-01-01 06:33:05,16.90,30.40,15.30,93.40,142.40,13.00,11.00
2011-01-01 06:39:23,17.10,30.40,15.20,92.40,147.00,14.00, 9.40
2011-01-01 06:45:37,17.00,30.40,15.10,92.00,135.60,14.00, 9.60
2011-01-01 06:51:51,16.90,30.40,15.00,91.80,140.80,14.00,10.60
2011-01-01 06:58:06,16.70,30.40,14.80,92.00,135.40,14.00,11.00
2011-01-01 07:04:23,16.60,30.40,14.50,91.60,139.20,14.00,11.60
2011-01-01 07:10:38,16.60,30.40,14.70,92.00,138.20,14.00,11.00
2011-01-01 07:16:54,16.60,30.40,14.50,91.40,141.60,14.00,11.00
2011-01-01 07:23:09,16.50,30.40,14.40,91.40,133.60,14.00,10.80
2011-01-01 07:29:28,16.40,30.40,14.40,91.40,132.40,14.00,10.00
2011-01-01 07:35:43,16.40,30.40,14.50,92.00,140.60,14.00,10.80
2011-01-01 07:41:58,16.70,30.40,14.80,92.40,134.20,14.00,10.20
2011-01-01 07:48:13,16.70,30.40,14.80,92.00,143.00,14.00, 9.60
2011-01-01 07:54:29,16.70,30.40,14.80,92.00,135.00,14.00,10.80
2011-01-01 08:00:44,16.70,30.40,14.80,92.00,144.80,14.00, 9.20
2011-01-01 08:06:59,16.70,30.40,14.70,91.80,142.80,13.00, 9.80
2011-01-01 08:13:14,16.90,30.40,15.00,92.20,145.00,14.00,10.20
2011-01-01 08:19:32,17.10,30.40,15.20,92.20,146.80,14.00, 8.40
2011-01-01 08:25:47,17.10,30.40,15.20,92.00,146.00,14.00, 8.80
2011-01-01 08:32:02,17.20,30.40,15.20,91.60,148.00,14.00, 8.40
2011-01-01 08:38:18,17.00,30.40,14.90,91.40,141.20,11.00, 8.40
2011-01-01 08:44:34,17.10,30.40,15.00,91.60,132.60,12.00, 8.20
2011-01-01 08:50:49,17.30,30.40,15.40,91.80,142.20,12.00, 8.20
2011-01-01 08:57:04,17.40,30.40,15.40,91.80,145.20,12.00, 9.20
2011-01-01 09:03:21,17.30,30.40,15.20,91.20,150.20,12.00,10.00
2011-01-01 09:09:37,17.50,30.40,15.50,91.80,139.20,12.00, 9.40
2011-01-01 09:15:53,17.60,30.40,15.60,91.80,150.20,13.00, 9.00
2011-01-01 09:22:09,17.40,30.40,15.20,90.80,135.60,13.00, 9.20
2011-01-01 09:28:25,17.30,30.40,15.10,91.00,136.20,13.00, 8.80
2011-01-01 09:34:40,17.50,30.40,15.30,91.00,136.80,13.00, 8.20
